transition_s,transition_token,optimizer,loss,peaq_mean,peaq_std,si_sdr_mean,si_sdr_std,mr_stft_error_mean,mr_stft_error_std,mel_spectral_distance_mean,mel_spectral_distance_std,spectral_centroid_delta_mean,spectral_centroid_delta_std,rmse_mean,rmse_std,lufs_difference_mean,lufs_difference_std,crest_factor_difference_mean,crest_factor_difference_std
1,1p0,FxFDAF,NA,-1.903730512,0.002707567299,-36.29864502,20.26785088,1.941035748,0.5533744693,4.662010193,0.7214376926,1378.203857,1804.213379,0.1809717417,0.04042712227,3.622181416,2.295991421,0,0
1,1p0,FxLMS,NA,-1.991864562,0.3289601207,-40.2800827,24.0318222,4.212669849,2.793628931,5.96197176,1.257264972,1614.570068,2056.372559,0.1763320863,0.0555255264,4.495826721,4.572746754,0,0
1,1p0,No EQ,NA,-1.901971221,0.003409032244,-23.55226517,11.67148495,1.232837915,0.115038693,4.594676495,0.6114987731,670.7175293,629.9455566,0.2018415779,0.05223534629,0.7462227941,0.7161693573,0,0
