transition_s,transition_token,optimizer,loss,peaq_mean,peaq_std,si_sdr_mean,si_sdr_std,mr_stft_error_mean,mr_stft_error_std,mel_spectral_distance_mean,mel_spectral_distance_std,spectral_centroid_delta_mean,spectral_centroid_delta_std,rmse_mean,rmse_std,lufs_difference_mean,lufs_difference_std,crest_factor_difference_mean,crest_factor_difference_std
1,1p0,FxFDAF,NA,-1.904360294,0.001401019748,-24.66730499,10.8933115,1.714089513,0.1916265637,4.81567049,0.7755632401,500.9115906,82.41576385,0.1632706374,0.03258443251,3.031792402,1.66091454,0,0
1,1p0,No EQ,NA,-1.903635502,0.002656892408,-25.52382469,8.97279644,1.245092988,0.1048337445,4.731230259,0.4645678699,260.1146851,84.46647644,0.1793607622,0.03949776664,0.6778354645,0.5625047684,0,0
15,15p0,FxFDAF,NA,-1.904360294,0.001401019748,-24.66730499,10.8933115,1.714089513,0.1916265637,4.81567049,0.7755632401,500.9115906,82.41576385,0.1632706374,0.03258443251,3.031792402,1.66091454,0,0
15,15p0,No EQ,NA,-1.903635502,0.002656892408,-25.52382469,8.97279644,1.245092988,0.1048337445,4.731230259,0.4645678699,260.1146851,84.46647644,0.1793607622,0.03949776664,0.6778354645,0.5625047684,0,0
30,30p0,FxFDAF,NA,-1.904360294,0.001401019748,-24.66730499,10.8933115,1.714089513,0.1916265637,4.81567049,0.7755632401,500.9115906,82.41576385,0.1632706374,0.03258443251,3.031792402,1.66091454,0,0
30,30p0,No EQ,NA,-1.903635502,0.002656892408,-25.52382469,8.97279644,1.245092988,0.1048337445,4.731230259,0.4645678699,260.1146851,84.46647644,0.1793607622,0.03949776664,0.6778354645,0.5625047684,0,0
